id,detail_desc,factory,image,name,price,quantity,short_desc,sold,target
13,"HP Envy x360 sở hữu màn hình cảm ứng 15.6 inch, vi xử lý Intel Core i5, RAM 8GB, SSD 256GB. Thích hợp cho công việc văn phòng và giải trí.",HP,laptop12.png,"HP Envy x360",27990000,40,"Laptop mạnh mẽ cho doanh nhân và công việc văn phòng.",20,BUSINESS
14,"MacBook Pro 16 inch với màn hình Retina, chip M2 Pro mạnh mẽ, RAM 16GB, SSD 1TB. Hiệu năng cao phù hợp cho các công việc thiết kế đồ họa và phát triển phần mềm.",Apple,laptop13.png,"MacBook Pro 16",71990000,30,"MacBook dành cho dân chuyên nghiệp, thiết kế và lập trình.",25,PROFESSIONAL
15,"ASUS ROG Strix G17 trang bị vi xử lý AMD Ryzen 7, card đồ họa NVIDIA RTX 3060, RAM 16GB, SSD 512GB. Tốc độ làm mới 144Hz cho trải nghiệm game mượt mà.",ASUS,laptop14.png,"ASUS ROG Strix",45990000,35,"Laptop gaming hiệu suất cao dành cho game thủ.",18,GAMER
16,"Lenovo IdeaPad 3 sở hữu màn hình HD 15.6 inch, vi xử lý Intel Core i3, RAM 4GB, HDD 1TB. Thích hợp cho học sinh và sinh viên với ngân sách thấp.",Lenovo,laptop15.png,"Lenovo IdeaPad 3",18990000,60,"Laptop giá rẻ với hiệu năng ổn định cho học tập.",40,STUDENT
17,"Acer Aspire 7 trang bị vi xử lý AMD Ryzen 5, card đồ họa GTX 1650, RAM 8GB, SSD 256GB. Laptop gaming giá hợp lý cho người mới bắt đầu.",Acer,laptop16.png,"Acer Aspire 7",24990000,45,"Laptop gaming giá rẻ với cấu hình ổn định.",15,GAMER
18,"MSI Katana GF66 với vi xử lý Intel Core i7, card đồ họa NVIDIA RTX 3050 Ti, RAM 16GB, SSD 512GB. Hỗ trợ chơi các tựa game AAA ở thiết lập cao.",MSI,laptop17.png,"MSI Katana GF66",34990000,25,"Laptop gaming chuyên nghiệp, hiệu suất cao.",12,GAMER
19,"Samsung Galaxy Book2 có màn hình AMOLED 13.3 inch, vi xử lý Intel Core i5, RAM 8GB, SSD 256GB. Thiết kế nhỏ gọn, lý tưởng cho doanh nhân.",Samsung,laptop18.png,"Samsung Galaxy Book2",22990000,55,"Laptop siêu nhẹ với màn hình cảm ứng tiện lợi.",20,BUSINESS
20,"Dell G15 đi kèm vi xử lý Intel Core i7, card đồ họa NVIDIA GTX 3050, RAM 16GB, SSD 512GB. Phù hợp cho các game thủ muốn trải nghiệm mượt mà.",Dell,laptop19.png,"Dell G15",29990000,40,"Laptop gaming bền bỉ dành cho mọi game thủ.",22,GAMER
21,"HP Pavilion 15 với màn hình Full HD 15.6 inch, vi xử lý Intel Core i5, RAM 8GB, SSD 256GB. Đáp ứng tốt nhu cầu học tập và giải trí.",HP,laptop20.png,"HP Pavilion 15",20990000,70,"Laptop mỏng nhẹ, hiệu năng ổn định cho học tập.",35,STUDENT
22,"ASUS VivoBook 15 trang bị màn hình Full HD 15.6 inch, vi xử lý Intel Core i3, RAM 4GB, SSD 128GB. Phù hợp cho học tập và văn phòng.",ASUS,laptop21.png,"ASUS VivoBook 15",16990000,50,"Laptop giá rẻ với hiệu năng ổn định cho sinh viên.",20,STUDENT
23,"Lenovo ThinkBook 14 sở hữu vi xử lý AMD Ryzen 5, RAM 8GB, SSD 256GB. Thời lượng pin lên đến 10 giờ.",Lenovo,laptop22.png,"Lenovo ThinkBook 14",21990000,40,"Laptop gọn nhẹ dành cho học sinh.",15,STUDENT
24,"HP Chromebook 14 trang bị màn hình HD 14 inch, vi xử lý Intel Celeron, RAM 4GB, bộ nhớ eMMC 64GB. Thích hợp cho học tập cơ bản.",HP,laptop23.png,"HP Chromebook 14",10990000,60,"Laptop chạy Chrome OS giá rẻ.",25,STUDENT
25,"Acer Spin 3 có màn hình cảm ứng 14 inch, vi xử lý Intel Core i3, RAM 8GB, SSD 128GB. Dễ dàng chuyển đổi giữa chế độ laptop và tablet.",Acer,laptop24.png,"Acer Spin 3",19990000,35,"Laptop 2 trong 1 dành cho sinh viên.",18,STUDENT
26,"Samsung Galaxy Chromebook với màn hình AMOLED 13.3 inch, vi xử lý Intel Core i5, RAM 8GB, SSD 256GB. Thiết kế siêu mỏng nhẹ.",Samsung,laptop25.png,"Samsung Galaxy Chromebook",25990000,20,"Laptop Chromebook cao cấp.",10,STUDENT
27,"Dell Latitude 7420 sở hữu màn hình Full HD 14 inch, vi xử lý Intel Core i7, RAM 16GB, SSD 512GB. Thiết kế chắc chắn, bảo mật cao.",Dell,laptop26.png,"Dell Latitude 7420",39990000,30,"Laptop dành cho doanh nhân cao cấp.",12,BUSINESS
28,"HP EliteBook 840 trang bị màn hình Full HD, vi xử lý Intel Core i7, RAM 16GB, SSD 512GB. Phù hợp cho môi trường làm việc chuyên nghiệp.",HP,laptop27.png,"HP EliteBook 840",36990000,25,"Laptop bền bỉ dành cho công việc.",10,BUSINESS
29,"Lenovo ThinkPad X1 Carbon có vi xử lý Intel Core i7, RAM 16GB, SSD 1TB. Mỏng nhẹ và pin lâu đến 15 giờ.",Lenovo,laptop28.png,"Lenovo ThinkPad X1 Carbon",52990000,15,"Laptop cao cấp, siêu nhẹ.",8,BUSINESS
30,"ASUS ExpertBook B9 chỉ nặng 870g, vi xử lý Intel Core i7, RAM 16GB, SSD 1TB. Phù hợp cho doanh nhân di chuyển nhiều.",ASUS,laptop29.png,"ASUS ExpertBook B9",43990000,20,"Laptop doanh nhân nhẹ nhất thế giới.",9,BUSINESS
31,"Acer Swift 5 có màn hình Full HD, vi xử lý Intel Core i5, RAM 8GB, SSD 512GB. Thiết kế sang trọng, hiệu năng ổn định.",Acer,laptop30.png,"Acer Swift 5",31990000,40,"Laptop gọn nhẹ dành cho văn phòng.",18,BUSINESS
32,"Alienware m15 R6 trang bị card đồ họa NVIDIA RTX 3070, vi xử lý Intel Core i7, RAM 16GB, SSD 1TB. Hiệu suất đỉnh cao cho mọi tựa game.",Dell,laptop31.png,"Alienware m15 R6",59990000,10,"Laptop gaming cao cấp.",5,GAMER
33,"Razer Blade 15 với màn hình 4K, card đồ họa NVIDIA RTX 3080, vi xử lý Intel Core i9, RAM 32GB, SSD 1TB. Laptop gaming mạnh nhất hiện nay.",Razer,laptop32.png,"Razer Blade 15",71990000,8,"Laptop gaming siêu cao cấp.",3,GAMER
34,"ASUS TUF Gaming A15 sở hữu vi xử lý AMD Ryzen 7, card NVIDIA GTX 1660 Ti, RAM 16GB, SSD 512GB. Phù hợp với các game thủ mới.",ASUS,laptop33.png,"ASUS TUF Gaming A15",28990000,35,"Laptop gaming giá tốt, bền bỉ.",22,GAMER
35,"MSI Stealth 15M có vi xử lý Intel Core i7, card NVIDIA RTX 3060, RAM 16GB, SSD 512GB. Tốc độ làm mới 144Hz cho trải nghiệm mượt mà.",MSI,laptop34.png,"MSI Stealth 15M",39990000,20,"Laptop gaming mỏng nhẹ.",12,GAMER
36,"Gigabyte AORUS 17G trang bị card NVIDIA RTX 3070, vi xử lý Intel Core i7, RAM 32GB, SSD 1TB. Thiết kế chắc chắn, trải nghiệm đỉnh cao.",Gigabyte,laptop35.png,"Gigabyte AORUS 17G",64990000,15,"Laptop gaming với bàn phím cơ.",7,GAMER
37,"MacBook Air M2 với chip M2, RAM 8GB, SSD 256GB. Phù hợp cho công việc văn phòng và sáng tạo nội dung.",Apple,laptop36.png,"Apple MacBook Air M2",28990000,50,"Laptop mỏng nhẹ, hiệu năng cao.",30,PROFESSIONAL
38,"LG Gram 16 chỉ nặng 1.19kg, màn hình 16 inch WQXGA, vi xử lý Intel Core i7, RAM 16GB, SSD 512GB. Pin sử dụng lên đến 18 giờ.",LG,laptop37.png,"LG Gram 16",34990000,40,"Laptop siêu nhẹ với màn hình lớn.",15,PROFESSIONAL
39,"Surface Laptop 5 trang bị màn hình cảm ứng PixelSense, vi xử lý Intel Core i7, RAM 16GB, SSD 512GB. Thiết kế tinh tế.",Microsoft,laptop38.png,"Microsoft Surface Laptop 5",39990000,30,"Laptop Windows cao cấp.",12,PROFESSIONAL
40,"Huawei MateBook X Pro có màn hình 13.9 inch 3K, vi xử lý Intel Core i5, RAM 8GB, SSD 512GB. Thích hợp cho công việc sáng tạo.",Huawei,laptop39.png,"Huawei MateBook X Pro",25990000,45,"Laptop gọn nhẹ với màn hình cảm ứng.",20,PROFESSIONAL
41,"Dell Precision 5550 với vi xử lý Intel Xeon, card NVIDIA Quadro T2000, RAM 32GB, SSD 1TB. Hiệu năng mạnh mẽ cho thiết kế đồ họa.",Dell,laptop40.png,"Dell Precision 5550",69990000,15,"Laptop cho dân kỹ thuật và đồ họa.",10,PROFESSIONAL
42,"HP Pavilion 14 trang bị vi xử lý Intel Core i5, RAM 8GB, SSD 256GB, màn hình Full HD. Phù hợp cho học sinh và sinh viên.",HP,laptop41.png,"HP Pavilion 14",18990000,45,"Laptop gọn nhẹ với hiệu năng tốt.",22,STUDENT
43,"Lenovo IdeaPad 3 sở hữu màn hình 15.6 inch HD, vi xử lý AMD Ryzen 3, RAM 4GB, SSD 128GB. Lý tưởng cho nhu cầu học tập cơ bản.",Lenovo,laptop42.png,"Lenovo IdeaPad 3",15990000,60,"Laptop giá rẻ cho học tập.",30,STUDENT
44,"Acer Aspire 5 trang bị vi xử lý Intel Core i3, RAM 8GB, SSD 256GB, màn hình 15.6 inch Full HD.",Acer,laptop43.png,"Acer Aspire 5",17990000,50,"Laptop học tập với hiệu năng ổn định.",25,STUDENT
45,"ASUS ZenBook 13 OLED trang bị chip Intel Core i5, RAM 8GB, SSD 512GB. Màn hình OLED 13.3 inch cho hình ảnh sống động.",ASUS,laptop44.png,"ASUS ZenBook 13 OLED",25990000,30,"Laptop học tập với màn hình OLED.",10,STUDENT
46,"Dell Inspiron 15 3000 với vi xử lý Intel Pentium, RAM 4GB, SSD 128GB. Lựa chọn tối ưu cho học sinh.",Dell,laptop45.png,"Dell Inspiron 15 3000",16990000,70,"Laptop giá rẻ cho nhu cầu cơ bản.",35,STUDENT
47,"HP ZBook Firefly với card đồ họa NVIDIA Quadro T500, vi xử lý Intel Core i7, RAM 16GB, SSD 1TB. Phù hợp cho doanh nghiệp.",HP,laptop46.png,"HP ZBook Firefly 15 G8",45990000,25,"Laptop cho công việc sáng tạo và kinh doanh.",12,BUSINESS
48,"ASUS ExpertBook B1 trang bị màn hình 14 inch, vi xử lý Intel Core i5, RAM 8GB, SSD 256GB. Thiết kế mỏng nhẹ, bảo mật cao.",ASUS,laptop47.png,"ASUS ExpertBook B1",23990000,40,"Laptop bền bỉ dành cho công việc.",18,BUSINESS
49,"Surface Pro 9 với màn hình cảm ứng 13 inch, vi xử lý Intel Core i7, RAM 16GB, SSD 512GB.",Microsoft,laptop48.png,"Microsoft Surface Pro 9",34990000,20,"Laptop 2 trong 1 dành cho doanh nhân.",10,BUSINESS
50,"Lenovo Yoga Slim 7 trang bị màn hình Full HD, vi xử lý AMD Ryzen 5, RAM 8GB, SSD 512GB.",Lenovo,laptop49.png,"Lenovo Yoga Slim 7",25990000,35,"Laptop mỏng nhẹ, hiệu suất cao.",15,BUSINESS
51,"Acer TravelMate P6 trang bị vi xử lý Intel Core i7, RAM 16GB, SSD 1TB. Bảo mật dữ liệu tốt.",Acer,laptop50.png,"Acer TravelMate P6",32990000,30,"Laptop bền bỉ dành cho văn phòng.",12,BUSINESS
52,"HP OMEN 16 sở hữu card đồ họa NVIDIA RTX 3060, vi xử lý Intel Core i7, RAM 16GB, SSD 512GB.",HP,laptop51.png,"HP OMEN 16",43990000,15,"Laptop gaming tầm trung.",7,GAMER
53,"ASUS ROG Zephyrus G14 trang bị card đồ họa NVIDIA RTX 3070, vi xử lý AMD Ryzen 9, RAM 32GB, SSD 1TB.",ASUS,laptop52.png,"ASUS ROG Zephyrus G14",54990000,10,"Laptop gaming siêu nhẹ.",5,GAMER
54,"Dell G15 5520 với card đồ họa NVIDIA GTX 1650, vi xử lý Intel Core i5, RAM 8GB, SSD 512GB.",Dell,laptop53.png,"Dell G15 5520",28990000,40,"Laptop gaming giá rẻ.",20,GAMER
55,"MSI Katana GF76 trang bị card đồ họa NVIDIA RTX 3060, vi xử lý Intel Core i7, RAM 16GB, SSD 512GB.",MSI,laptop54.png,"MSI Katana GF76",35990000,25,"Laptop gaming 17 inch.",10,GAMER
56,"Acer Predator Helios 300 với màn hình 144Hz, card đồ họa NVIDIA RTX 3070, RAM 16GB, SSD 1TB.",Acer,laptop55.png,"Acer Predator Helios 300",49990000,12,"Laptop gaming cao cấp.",6,GAMER
57,"MacBook Pro 16 M2 Max với chip M2 Max, RAM 32GB, SSD 1TB, màn hình Retina XDR 16 inch.",Apple,laptop56.png,"MacBook Pro 16 M2 Max",84990000,10,"Laptop cao cấp dành cho thiết kế đồ họa.",5,PROFESSIONAL
58,"Dell XPS 17 sở hữu màn hình 17 inch 4K, vi xử lý Intel Core i9, RAM 32GB, SSD 1TB.",Dell,laptop57.png,"Dell XPS 17",59990000,20,"Laptop màn hình lớn cho công việc.",10,PROFESSIONAL
59,"Surface Studio Laptop với màn hình cảm ứng 14 inch, vi xử lý Intel Core i7, RAM 16GB, SSD 512GB.",Microsoft,laptop58.png,"Microsoft Surface Studio Laptop",52990000,25,"Laptop 2 trong 1 cao cấp.",15,PROFESSIONAL
60,"LG UltraGear 17 trang bị card đồ họa NVIDIA RTX 3060, vi xử lý Intel Core i7, RAM 16GB, SSD 1TB.",LG,laptop59.png,"LG UltraGear 17",44990000,15,"Laptop dành cho công việc đồ họa.",8,PROFESSIONAL
61,"ASUS ProArt StudioBook với màn hình OLED 4K, card đồ họa NVIDIA RTX 3070, RAM 32GB, SSD 1TB.",ASUS,laptop60.png,"ASUS ProArt StudioBook",52990000,18,"Laptop cho nhà sáng tạo nội dung.",9,PROFESSIONAL
62,"ASUS VivoBook X415 trang bị vi xử lý Intel Core i3, RAM 4GB, SSD 256GB. Lý tưởng cho học tập cơ bản.",ASUS,laptop61.png,"ASUS VivoBook X415",12990000,70,"Laptop nhẹ nhàng, phù hợp học sinh.",40,STUDENT
63,"Dell Vostro 3400 sở hữu màn hình 14 inch Full HD, vi xử lý Intel Core i3, RAM 8GB, SSD 256GB.",Dell,laptop62.png,"Dell Vostro 3400",13990000,65,"Laptop giá tốt cho sinh viên.",35,STUDENT
64,"HP 240 G8 trang bị màn hình 15.6 inch HD, vi xử lý Intel Core i3, RAM 8GB, SSD 256GB.",HP,laptop63.png,"HP 240 G8",14990000,60,"Laptop văn phòng phổ thông.",28,STUDENT
65,"Lenovo ThinkBook 14 với màn hình Full HD, vi xử lý Intel Core i5, RAM 8GB, SSD 512GB.",Lenovo,laptop64.png,"Lenovo ThinkBook 14",19990000,45,"Laptop hiệu năng ổn định.",20,STUDENT
66,"Acer Swift 3 với vi xử lý AMD Ryzen 5, RAM 8GB, SSD 512GB.",Acer,laptop65.png,"Acer Swift 3",17990000,50,"Laptop học tập nhỏ gọn.",25,STUDENT
67,"Dell Latitude 7320 trang bị màn hình cảm ứng, vi xử lý Intel Core i7, RAM 16GB, SSD 512GB.",Dell,laptop66.png,"Dell Latitude 7320",40990000,20,"Laptop cho doanh nghiệp nhỏ.",8,BUSINESS
68,"HP EliteBook 850 G8 với màn hình 15.6 inch Full HD, vi xử lý Intel Core i7, RAM 16GB, SSD 1TB.",HP,laptop67.png,"HP EliteBook 850 G8",38990000,30,"Laptop cao cấp cho văn phòng.",12,BUSINESS
69,"ASUS ExpertBook P2 trang bị vi xử lý Intel Core i5, RAM 8GB, SSD 512GB.",ASUS,laptop68.png,"ASUS ExpertBook P2",24990000,35,"Laptop văn phòng bền bỉ.",15,BUSINESS
70,"Surface Laptop Go với màn hình cảm ứng 12.4 inch, vi xử lý Intel Core i5, RAM 8GB, SSD 256GB.",Microsoft,laptop69.png,"Microsoft Surface Laptop Go",18990000,50,"Laptop nhỏ gọn cho công việc.",25,BUSINESS
71,"Lenovo ThinkPad X1 Carbon với màn hình 14 inch 2K, vi xử lý Intel Core i7, RAM 16GB, SSD 1TB.",Lenovo,laptop70.png,"Lenovo ThinkPad X1 Carbon Gen 9",52990000,15,"Laptop cao cấp cho quản lý.",6,BUSINESS
73,"Acer Nitro 5 với card đồ họa NVIDIA GTX 1650, vi xử lý Intel Core i5, RAM 8GB, SSD 512GB.",Acer,73.png,"Acer Nitro 5",25990000,40,"Laptop gaming phổ thông.",20,GAMER
74,"Alienware m15 R6 trang bị card đồ họa NVIDIA RTX 3070, vi xử lý Intel Core i7, RAM 16GB, SSD 1TB.",Dell,74.png,"Dell Alienware m15 R6",54990000,15,"Laptop gaming hiệu năng khủng.",7,GAMER
75,"ASUS TUF Gaming A15 với card đồ họa NVIDIA RTX 3060, vi xử lý AMD Ryzen 7, RAM 16GB, SSD 512GB.",ASUS,75.png,"ASUS TUF Gaming A15",31990000,30,"Laptop gaming bền bỉ.",15,GAMER
76,"HP Victus 16 trang bị màn hình 16.1 inch, card đồ họa NVIDIA GTX 1650, RAM 8GB, SSD 512GB.",HP,76.png,"HP Victus 16",27990000,35,"Laptop gaming giá rẻ.",18,GAMER
77,"MacBook Air 15 với chip M2, RAM 16GB, SSD 512GB, màn hình Retina.",Apple,77.png,"MacBook Air 15 M2",29990000,20,"Laptop nhỏ gọn hiệu năng cao.",12,PROFESSIONAL
78,"HP Spectre x360 với màn hình cảm ứng OLED, vi xử lý Intel Core i7, RAM 16GB, SSD 1TB.",HP,78.png,"HP Spectre x360",35990000,18,"Laptop xoay gập dành cho chuyên gia.",10,PROFESSIONAL
79,"Lenovo Legion 7i với card đồ họa NVIDIA RTX 3070, vi xử lý Intel Core i7, RAM 32GB, SSD 1TB.",Lenovo,79.png,"Lenovo Legion 7i",51990000,15,"Laptop đồ họa mạnh mẽ.",8,PROFESSIONAL
80,"ZenBook Pro Duo với màn hình chính 4K OLED, màn hình phụ, card đồ họa NVIDIA RTX 3060, RAM 32GB, SSD 1TB.",ASUS,80.png,"ASUS ZenBook Pro Duo",58990000,10,"Laptop hai màn hình cao cấp.",5,PROFESSIONAL
81,"Dell Precision 5550 với màn hình 15.6 inch 4K, card đồ họa NVIDIA Quadro T1000, RAM 32GB, SSD 1TB.",Dell,81.png,"Dell Precision 5550",47990000,12,"Laptop cho đồ họa 3D.",6,PROFESSIONAL
82,"ASUS ExpertBook B1 được trang bị vi xử lý Intel Core i5, RAM 8GB, SSD 512GB, màn hình 14 inch Full HD, lý tưởng cho học tập.",ASUS,82.png,"ASUS ExpertBook B1",15990000,50,"Laptop gọn nhẹ, pin lâu.",20,STUDENT
83,"HP Pavilion 14 trang bị vi xử lý AMD Ryzen 5, RAM 8GB, SSD 512GB, màn hình 14 inch Full HD.",HP,83.png,"HP Pavilion 14",18990000,55,"Laptop hiệu năng ổn định.",22,STUDENT
84,"Lenovo IdeaPad 3 sở hữu vi xử lý Intel Core i3, RAM 8GB, SSD 256GB, phù hợp với sinh viên.",Lenovo,84.png,"Lenovo IdeaPad 3",14990000,65,"Giải pháp học tập tiết kiệm.",30,STUDENT
85,"Acer Aspire 5 với vi xử lý Intel Core i3, RAM 4GB, SSD 256GB, lý tưởng cho học tập và làm việc nhẹ nhàng.",Acer,85.png,"Acer Aspire 5",13990000,70,"Laptop giá rẻ, bền bỉ.",35,STUDENT
86,"Dell Inspiron 15 sở hữu màn hình 15.6 inch Full HD, vi xử lý Intel Core i5, RAM 8GB, SSD 512GB.",Dell,86.png,"Dell Inspiron 15",17990000,40,"Laptop phổ thông, màn lớn.",18,STUDENT
87,"Dell XPS 13 trang bị màn hình cảm ứng 13.4 inch 4K, vi xử lý Intel Core i7, RAM 16GB, SSD 512GB.",Dell,87.png,"Dell XPS 13",31990000,25,"Laptop cao cấp, siêu mỏng.",12,BUSINESS
88,"ASUS ZenBook 14 sở hữu vi xử lý AMD Ryzen 7, RAM 16GB, SSD 1TB, màn hình OLED 14 inch.",ASUS,88.png,"ASUS ZenBook 14",29990000,30,"Laptop mỏng nhẹ, hiệu năng cao.",15,BUSINESS
89,"HP ProBook 450 G8 với vi xử lý Intel Core i5, RAM 8GB, SSD 512GB, màn hình Full HD 15.6 inch.",HP,89.png,"HP ProBook 450 G8",24990000,40,"Laptop doanh nghiệp đáng tin cậy.",20,BUSINESS
90,"Lenovo ThinkPad T14 trang bị màn hình 14 inch, vi xử lý Intel Core i7, RAM 16GB, SSD 1TB.",Lenovo,90.png,"Lenovo ThinkPad T14",36990000,20,"Laptop chuyên nghiệp, bảo mật.",8,BUSINESS
91,"Surface Pro 8 với màn hình cảm ứng 13 inch 120Hz, vi xử lý Intel Core i7, RAM 16GB, SSD 512GB.",Microsoft,91.png,"Microsoft Surface Pro 8",42990000,15,"Laptop lai tablet nhỏ gọn.",6,BUSINESS
92,"ROG Strix G15 sở hữu card đồ họa NVIDIA RTX 3060, vi xử lý AMD Ryzen 7, RAM 16GB, SSD 1TB.",ASUS,92.png,"ASUS ROG Strix G15",32990000,30,"Laptop gaming giá tốt.",14,GAMER
93,"MSI Katana GF66 với card đồ họa NVIDIA GTX 1650, vi xử lý Intel Core i5, RAM 8GB, SSD 512GB.",MSI,93.png,"MSI Katana GF66",28990000,35,"Laptop gaming hiệu năng ổn.",15,GAMER
94,"Acer Predator Helios 300 trang bị card NVIDIA RTX 3060, vi xử lý Intel Core i7, RAM 16GB, SSD 1TB.",Acer,94.png,"Acer Predator Helios 300",37990000,20,"Laptop gaming mạnh mẽ.",9,GAMER
95,"HP Omen 15 sở hữu màn hình 15.6 inch, card NVIDIA GTX 1650, RAM 8GB, SSD 512GB.",HP,95.png,"HP Omen 15",29990000,28,"Laptop gaming phổ thông.",13,GAMER
96,"Gigabyte AORUS 17G với màn hình 17.3 inch 300Hz, card NVIDIA RTX 3080, RAM 32GB, SSD 1TB.",Gigabyte,96.png,"Gigabyte AORUS 17G",53990000,10,"Laptop gaming cao cấp.",4,GAMER
97,"MacBook Pro 14 trang bị chip M1 Pro, màn hình Retina 14 inch, RAM 16GB, SSD 512GB.",Apple,97.png,"MacBook Pro 14 M1",42990000,18,"Laptop mạnh mẽ cho đồ họa.",8,PROFESSIONAL
98,"Dell Precision 3550 với card NVIDIA Quadro P620, vi xử lý Intel Core i7, RAM 32GB, SSD 1TB.",Dell,98.png,"Dell Precision 3550",46990000,12,"Laptop thiết kế đồ họa.",5,PROFESSIONAL
99,"ASUS ProArt StudioBook với card NVIDIA RTX 2060, vi xử lý Intel Core i7, RAM 16GB, SSD 1TB.",ASUS,99.png,"ASUS ProArt StudioBook 15",51990000,8,"Laptop chuyên dụng đồ họa.",3,PROFESSIONAL
100,"Lenovo Yoga Slim 7i trang bị màn hình cảm ứng 14 inch, vi xử lý Intel Core i5, RAM 8GB, SSD 512GB.",Lenovo,100.png,"Lenovo Yoga Slim 7i",35990000,20,"Laptop mỏng nhẹ, chuyên nghiệp.",10,PROFESSIONAL
